aspects,false_negative_rows_per_100_mean,false_positive_rows_per_100_mean,is_global_validation_selected,is_pareto_frontier,is_test_comparison,pair_micro_f1_mean,pair_samples_f1_mean,policy,policy_family,precision_mean,qwen_call_rate_mean,recall_mean,split
12,8.958202058391095,10.444234404536862,0,1,1,0.31584787136848674,0.052720016803192604,local_only,local_only,0.3449245620420037,0.0,0.39653407551316416,test
12,9.315269901281244,7.151858853182104,0,1,1,0.3467056717146133,0.05130224742701113,aspect_agreement_qwen_sentiment,prediction_combination,0.41999995838863,0.16141566897710566,0.3814789339660045,test
12,4.048519218651544,16.666666666666668,0,1,1,0.3800392260509575,0.09976895610165931,score_abs_replace_le_0.05,symmetric_score_distance,0.3322918872365366,0.22390254148288175,0.5425953264588633,test
12,4.216551144717497,15.275152278932996,1,1,0,0.3900016678014891,0.09882377651753833,score_asym_rescue_le_0.05_confirm_le_0.30,asymmetric_rescue_confirm,0.35297602481177115,0.29053770216341107,0.5299945618578716,test
12,1.91136315900021,34.4150388573829,0,0,1,0.3377876538691616,0.12119302667506826,qwen_only,qwen_only,0.23788312223033362,1.0,0.8181972391220181,test
12,8.506780195521918,9.618416903185114,0,1,1,0.36198397758979095,0.05700094607379375,local_only,local_only,0.3935412191770718,0.0,0.4391326370893605,validation
12,8.514664143803216,9.594765058341217,0,1,0,0.3624531104798754,0.05707978555660675,sentiment_margin_confirm_le_0.05,sentiment_margin,0.3947005718170468,0.000946073793755913,0.4393404508881968,validation
12,8.506780195521918,9.618416903185114,0,0,0,0.36228978798734446,0.05707978555660675,sentiment_margin_replace_le_0.05,sentiment_margin,0.39411992288077546,0.000946073793755913,0.4393404508881968,validation
12,8.514664143803216,9.594765058341217,0,0,0,0.3624531104798754,0.05707978555660675,sentiment_margin_confirm_le_0.10,sentiment_margin,0.3947005718170468,0.0013402712078208767,0.4393404508881968,validation
12,8.506780195521918,9.618416903185114,0,0,0,0.36228978798734446,0.05707978555660675,sentiment_margin_replace_le_0.10,sentiment_margin,0.39411992288077546,0.0013402712078208767,0.4393404508881968,validation
12,8.514664143803216,9.555345316934721,0,1,0,0.36283856470927073,0.05707978555660675,sentiment_margin_confirm_le_0.15,sentiment_margin,0.39523874737346215,0.0023651844843897824,0.4393404508881968,validation
12,8.506780195521918,9.618416903185114,0,0,0,0.36228978798734446,0.05707978555660675,sentiment_margin_replace_le_0.15,sentiment_margin,0.39411992288077546,0.0023651844843897824,0.4393404508881968,validation
12,8.514664143803216,9.539577420372122,0,1,0,0.36358586837341006,0.05715862503941974,sentiment_margin_confirm_le_0.20,sentiment_margin,0.39600757437451023,0.002838221381267739,0.4399914925548634,validation
12,8.506780195521918,9.618416903185114,0,0,0,0.36295645465401116,0.05715862503941974,sentiment_margin_replace_le_0.20,sentiment_margin,0.3948029829900651,0.002838221381267739,0.4399914925548634,validation
12,8.522548092084516,9.508041627246925,0,1,0,0.36429959482456964,0.05715862503941974,sentiment_margin_confirm_le_0.30,sentiment_margin,0.3968562032525164,0.004099653106275623,0.4404678312166384,validation
12,8.506780195521918,9.618416903185114,0,0,0,0.3635049517496207,0.05723746452223273,sentiment_margin_replace_le_0.30,sentiment_margin,0.39497661319086746,0.004099653106275623,0.4407151111375089,validation
